23:16:27.242143 config: drop-rate=0.00, max-delay=0s, seed=1552533387237143300
01:32:10.653293 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:32:15.653497 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:32:20.653634 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:32:25.654535 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:32:30.654772 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:32:35.655291 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:32:40.655809 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:32:45.657034 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:32:50.657311 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:32:55.672743 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:33:00.658963 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:33:05.658991 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:33:10.659463 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:33:15.659751 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:33:20.660865 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:33:25.661053 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:33:30.662002 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:33:35.662033 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:33:40.684707 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:33:45.664855 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:33:50.664745 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:33:55.665703 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:34:00.666538 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:34:05.667306 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:34:10.669226 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:34:15.669676 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:34:20.669698 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:34:25.670655 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:35:01.165282 [queue=0] packet #0, 192.168.0.129:62724 -> 192.168.0.129:8080, sz=20 is delivered
01:35:06.165934 [queue=0] packet #0, 192.168.0.129:62724 -> 192.168.0.129:8080, sz=20 is delivered
01:35:11.167211 [queue=0] packet #0, 192.168.0.129:62724 -> 192.168.0.129:8080, sz=20 is delivered
01:35:16.167327 [queue=0] packet #0, 192.168.0.129:62724 -> 192.168.0.129:8080, sz=20 is delivered
